Model,Accuracy,MAE,QWK,ROUGE-L,BERTScore
Baseline Model,0.8,0.2,0.9545454545454546,0.17687551893520903,0.8942735463380813
Fine-Tuned LoRA Model (Exp5),0.9,0.1,0.9744,0.3981764637447487,0.91949343085289
